ensemblGeneID	GeneSymbol	p1.shared_all_subcomp.1	p2.shared_all_subcomp.2	p3.shared_all_subcomp.3	p4.shared_all_subcomp.4	p5.shared_all_subcomp.5	p6.shared_all_subcomp.6	p7shared_all_subcomp.7	p8.shared_all_subcomp.8	p9.shared_all_subcomp.9	p10.shared_all_subcomp.10	p11.shared_all_subcomp.11	p12.shared_all_subcomp.12	p13.shared_all_subcomp.13	p14.shared_all_subcomp.14	p15.shared_all_subcomp.15	p16.shared_all_subcomp.16	p17.shared_all_subcomp.17	p18.shared_all_subcomp.18	p19.shared_all_subcomp.19	p20.shared_all_subcomp.20
ENSG00000236699	ARHGEF38	0.0002	0.0132	0.0069	0.0001	0.0000	0.0000	0.0000	0.0081	0.0002	0.0388	0.0000	0.0066	0.0010	0.0150	0.0000	0.0000	0.0055	0.0213	0.0154	0.0057
ENSG00000260428	SCX	0.0002	0.0001	0.0038	0.0001	0.0448	0.0006	0.0249	0.0367	0.0099	0.0432	0.0221	0.0002	0.0000	0.0000	0.0006	0.0655	0.0000	0.0117	0.0000	0.0032
ENSG00000175489	LRRC25	0.0002	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0213	0.0000	0.0010	0.0000	0.0050	0.0000	0.0000	0.0016	0.0006	0.0008	0.0000
ENSG00000123405	NFE2	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0176	0.0000	0.0006	0.0008	0.0014	0.0000	0.0000	0.0014	0.0000	0.0017	0.0000
ENSG00000153094	BCL2L11	0.0002	0.0003	0.0002	0.0000	0.0000	0.0016	0.0464	0.0011	0.0002	0.1552	0.0015	0.0029	0.0379	0.0094	0.0000	0.0000	0.0252	0.0990	0.0000	0.1500
ENSG00000106278	PTPRZ1	0.0002	0.0013	0.0664	0.9189	0.0003	0.0437	0.0000	0.2297	0.3444	0.0001	0.0000	0.2762	0.0000	0.1044	0.0000	0.0042	0.3860	0.0002	0.0001	0.0000
ENSG00000123338	NCKAP1L	0.0002	0.0000	0.0003	0.0000	0.0003	0.0001	0.0008	0.0156	0.0059	0.0267	0.0090	0.0054	0.0014	0.0003	0.0000	0.0069	0.0064	0.0106	0.0003	0.0000
ENSG00000100526	CDKN3	0.0002	0.0487	0.0631	0.0008	0.0000	0.0285	0.0012	0.0150	0.0049	0.0787	0.0017	0.1183	0.0006	0.0049	0.0004	0.0000	0.0642	0.0244	0.0120	0.0442
ENSG00000160781	PAQR6	0.0002	0.0053	0.0001	0.0026	0.0027	0.0043	0.0008	0.0132	0.0162	0.0413	0.0010	0.0075	0.0041	0.0029	0.0023	0.0059	0.0000	0.0152	0.0003	0.0266
ENSG00000166143	PPP1R14D	0.0002	0.0001	0.0007	0.0015	0.0000	0.0000	0.0000	0.0077	0.0000	0.0726	0.0000	0.0056	0.0000	0.0141	0.0000	0.0000	0.0083	0.0098	0.0130	0.0000
